id,date_time
1991823,2024-04-30 23:30:00
1991795,2024-04-30 23:00:00
1991779,2024-04-30 22:30:00
1991749,2024-04-30 22:00:00
1991733,2024-04-30 21:30:00
1991703,2024-04-30 21:00:00
1991687,2024-04-30 20:30:00
1991657,2024-04-30 20:00:00
1991639,2024-04-30 19:30:00
1991611,2024-04-30 19:00:00
1991590,2024-04-30 18:30:00
1991562,2024-04-30 18:00:00
1991544,2024-04-30 17:30:00
1991519,2024-04-30 17:00:00
1991501,2024-04-30 16:30:00
1991470,2024-04-30 16:00:00
1991455,2024-04-30 15:30:00
1991427,2024-04-30 15:00:00
1991409,2024-04-30 14:30:00
1991381,2024-04-30 14:00:00
1991363,2024-04-30 13:30:00
1991337,2024-04-30 13:00:00
1991319,2024-04-30 12:30:00
1991289,2024-04-30 12:00:00
1991273,2024-04-30 11:30:00
1991243,2024-04-30 11:00:00
1991225,2024-04-30 10:30:00
1991199,2024-04-30 10:00:00
1991179,2024-04-30 09:30:00
1991151,2024-04-30 09:00:00
1991135,2024-04-30 08:30:00
1991105,2024-04-30 08:00:00
1991087,2024-04-30 07:30:00
1991059,2024-04-30 07:00:00
1991043,2024-04-30 06:30:00
1991013,2024-04-30 06:00:00
1990992,2024-04-30 05:30:00
1990967,2024-04-30 05:00:00
1990949,2024-04-30 04:30:00
1990921,2024-04-30 04:00:00
1990905,2024-04-30 03:30:00
1990875,2024-04-30 03:00:00
1990857,2024-04-30 02:30:00
1990831,2024-04-30 02:00:00
1990811,2024-04-30 01:30:00
1990783,2024-04-30 01:00:00
1990767,2024-04-30 00:30:00
1990734,2024-04-29 23:30:00
1990706,2024-04-29 23:00:00
1990688,2024-04-29 22:30:00
1990660,2024-04-29 22:00:00
1990642,2024-04-29 21:30:00
1990614,2024-04-29 21:00:00
1990596,2024-04-29 20:30:00
1990568,2024-04-29 20:00:00
1990550,2024-04-29 19:50:00
1990532,2024-04-29 19:40:00
1990514,2024-04-29 19:30:00
1990496,2024-04-29 19:20:00
1990478,2024-04-29 19:10:00
1990450,2024-04-29 19:00:00
1990432,2024-04-29 18:50:00
1990414,2024-04-29 18:40:00
1990396,2024-04-29 18:30:00
1990378,2024-04-29 18:20:00
1990357,2024-04-29 18:10:00
1990332,2024-04-29 18:00:00
1990314,2024-04-29 17:50:00
1990296,2024-04-29 17:40:00
1990280,2024-04-29 17:30:00
1990250,2024-04-29 17:00:00
1990232,2024-04-29 16:30:00
1990204,2024-04-29 16:00:00
1990186,2024-04-29 15:30:00
1990155,2024-04-29 15:00:00
1990137,2024-04-29 14:30:00
1990112,2024-04-29 14:00:00
1990092,2024-04-29 13:30:00
1990074,2024-04-29 13:25:00
1990053,2024-04-29 13:20:00
1990038,2024-04-29 13:15:00
1990019,2024-04-29 13:10:00
1989994,2024-04-29 13:00:00
1989976,2024-04-29 12:30:00
1989948,2024-04-29 12:00:00
1989930,2024-04-29 11:30:00
1989902,2024-04-29 11:00:00
1989884,2024-04-29 10:30:00
1989856,2024-04-29 10:00:00
1989838,2024-04-29 09:30:00
1989810,2024-04-29 09:00:00
1989792,2024-04-29 08:30:00
1989764,2024-04-29 08:00:00
1989746,2024-04-29 07:30:00
1989718,2024-04-29 07:00:00
1989700,2024-04-29 06:30:00
1989672,2024-04-29 06:00:00
1989654,2024-04-29 05:30:00
1989626,2024-04-29 05:00:00
1989608,2024-04-29 04:30:00
1989580,2024-04-29 04:00:00
1989562,2024-04-29 03:30:00
1989534,2024-04-29 03:00:00
1989516,2024-04-29 02:30:00
1989488,2024-04-29 02:00:00
1989470,2024-04-29 01:30:00
1989442,2024-04-29 01:00:00
1989424,2024-04-29 00:30:00
1989390,2024-04-28 23:30:00
1989362,2024-04-28 23:00:00
1989346,2024-04-28 22:30:00
1989318,2024-04-28 22:00:00
1989298,2024-04-28 21:30:00
1989270,2024-04-28 21:00:00
1989252,2024-04-28 20:30:00
1989224,2024-04-28 20:00:00
1989206,2024-04-28 19:30:00
1989178,2024-04-28 19:00:00
1989157,2024-04-28 18:30:00
1989132,2024-04-28 18:00:00
1989114,2024-04-28 17:30:00
1989086,2024-04-28 17:00:00
1989068,2024-04-28 16:30:00
1989040,2024-04-28 16:00:00
1989021,2024-04-28 15:30:00
1988994,2024-04-28 15:00:00
1988976,2024-04-28 14:30:00
1988948,2024-04-28 14:00:00
1988930,2024-04-28 13:30:00
1988899,2024-04-28 13:00:00
1988884,2024-04-28 12:30:00
1988856,2024-04-28 12:00:00
1988838,2024-04-28 11:30:00
1988810,2024-04-28 11:00:00
1988792,2024-04-28 10:30:00
1988764,2024-04-28 10:00:00
1988746,2024-04-28 09:30:00
1988718,2024-04-28 09:00:00
1988700,2024-04-28 08:30:00
1988672,2024-04-28 08:00:00
1988654,2024-04-28 07:30:00
1988626,2024-04-28 07:00:00
1988608,2024-04-28 06:30:00
1988580,2024-04-28 06:00:00
1988562,2024-04-28 05:30:00
1988531,2024-04-28 05:00:00
1988516,2024-04-28 04:30:00
1988485,2024-04-28 04:00:00
1988470,2024-04-28 03:30:00
1988442,2024-04-28 03:00:00
1988424,2024-04-28 02:30:00
1988396,2024-04-28 02:00:00
1988380,2024-04-28 01:30:00
1988350,2024-04-28 01:00:00
1988332,2024-04-28 00:30:00
1988301,2024-04-27 23:30:00
1988273,2024-04-27 23:00:00
1988255,2024-04-27 22:30:00
1988227,2024-04-27 22:00:00
1988209,2024-04-27 21:30:00
1988181,2024-04-27 21:00:00
1988163,2024-04-27 20:30:00
1988135,2024-04-27 20:00:00
1988117,2024-04-27 19:30:00
1988089,2024-04-27 19:00:00
1988071,2024-04-27 18:30:00
1988040,2024-04-27 18:00:00
1988025,2024-04-27 17:30:00
1987997,2024-04-27 17:00:00
1987981,2024-04-27 16:50:00
1987963,2024-04-27 16:40:00
1987943,2024-04-27 16:30:00
1987927,2024-04-27 16:20:00
1987909,2024-04-27 16:10:00
1987877,2024-04-27 16:00:00
1987859,2024-04-27 15:55:00
1987841,2024-04-27 15:50:00
1987823,2024-04-27 15:45:00
1987807,2024-04-27 15:40:00
1987791,2024-04-27 15:30:00
1987771,2024-04-27 15:20:00
1987755,2024-04-27 15:10:00
1987725,2024-04-27 15:00:00
1987707,2024-04-27 14:50:00
1987689,2024-04-27 14:40:00
1987671,2024-04-27 14:30:00
1987653,2024-04-27 14:20:00
1987635,2024-04-27 14:10:00
1987604,2024-04-27 14:00:00
1987589,2024-04-27 13:50:00
1987571,2024-04-27 13:40:00
1987553,2024-04-27 13:30:00
1987535,2024-04-27 13:20:00
1987514,2024-04-27 13:10:00
1987491,2024-04-27 13:00:00
1987471,2024-04-27 12:50:00
1987455,2024-04-27 12:40:00
1987432,2024-04-27 12:30:00
1987414,2024-04-27 12:20:00
1987399,2024-04-27 12:10:00
1987379,2024-04-27 12:05:00
