Starting job 1013352
Training with:
    architecture = [32, 32],
    stride = 2,
    filter_size = [3, 3],
    leaky_slope = 0.2,
    max_pool = True,
    layer norm = True,
    loss = BCELoss(),
    batch size = 64,
    num_epochs = 1,
    scheduled_sampling = False,
    bias = True,
    transpose = True,
    use_lstm_output = False,
    scheduler = False,
    initial_lr = 0.01,
    gamma = 0.5.

CUDA is available!
Data shape: (20, 10000, 64, 64)

Training with sequence length 2.
Epoch [1/1], Batch [1], Loss: 304569.593750
Epoch [1/1], Batch [11], Loss: 95977.312500
Epoch [1/1], Batch [21], Loss: 79372.812500
Epoch [1/1], Batch [31], Loss: 73444.351562
Epoch [1/1], Batch [41], Loss: 65872.914062
Epoch [1/1], Batch [51], Loss: 64081.320312
Epoch [1/1], Batch [61], Loss: 58342.328125
Epoch [1/1], Batch [71], Loss: 59975.718750
Epoch [1/1], Batch [81], Loss: 58638.468750
Epoch [1/1], Batch [91], Loss: 57826.199219
Epoch [1/1], Batch [101], Loss: 59732.531250
Epoch [1/1], Batch [111], Loss: 55115.171875
Epoch [1/1], Batch [121], Loss: 56412.554688
Epoch [1/1], Batch [131], Loss: 55809.898438
Epoch [1/1], Batch [141], Loss: 56178.984375
Epoch [1/1], Batch [151], Loss: 57138.898438
Epoch [1/1], Batch [161], Loss: 52304.296875
Epoch [1/1], Batch [171], Loss: 56698.554688
Epoch [1/1], Batch [181], Loss: 53420.062500
Epoch [1/1], Batch [191], Loss: 52170.179688
Epoch [1/1], Batch [201], Loss: 55066.265625
Epoch [1/1], Batch [211], Loss: 56386.898438
Epoch [1/1], Batch [221], Loss: 52641.511719
Epoch [1/1], Batch [231], Loss: 52475.925781
Epoch [1/1], Batch [241], Loss: 52236.476562
Epoch [1/1], Batch [251], Loss: 53666.367188
Epoch [1/1], Batch [261], Loss: 53458.542969
Epoch [1/1], Batch [271], Loss: 55898.835938
Epoch [1/1], Batch [281], Loss: 53504.882812
Epoch [1/1], Batch [291], Loss: 54899.570312
Epoch [1/1], Batch [301], Loss: 51091.496094
Epoch [1/1], Batch [311], Loss: 51603.460938
Epoch [1/1], Batch [321], Loss: 53949.101562
Epoch [1/1], Batch [331], Loss: 55616.890625
Epoch [1/1], Batch [341], Loss: 52683.171875
Epoch [1/1], Batch [351], Loss: 54407.023438
Epoch [1/1], Batch [361], Loss: 51758.914062
Epoch [1/1], Batch [371], Loss: 53302.441406
Epoch [1/1], Batch [381], Loss: 52543.605469
Epoch [1/1], Batch [391], Loss: 54940.875000
Epoch [1/1], Batch [401], Loss: 50926.851562
Epoch [1/1], Batch [411], Loss: 51125.406250
Epoch [1/1], Batch [421], Loss: 54246.031250
Epoch [1/1], Batch [431], Loss: 55676.476562
Epoch [1/1], Batch [441], Loss: 53433.488281
Epoch [1/1], Batch [451], Loss: 54875.320312
Epoch [1/1], Batch [461], Loss: 52740.875000
Epoch [1/1], Batch [471], Loss: 52827.550781
Epoch [1/1], Batch [481], Loss: 48456.414062
Epoch [1/1], Batch [491], Loss: 50648.269531
Epoch [1/1], Batch [501], Loss: 52627.632812
Epoch [1/1], Batch [511], Loss: 52324.324219
Epoch [1/1], Batch [521], Loss: 51370.789062
Epoch [1/1], Batch [531], Loss: 51638.730469
Epoch [1/1], Batch [541], Loss: 51136.324219
Epoch [1/1], Batch [551], Loss: 52517.265625
Epoch [1/1], Batch [561], Loss: 52455.007812
Epoch [1/1], Batch [571], Loss: 52604.652344
Epoch [1/1], Batch [581], Loss: 51282.843750
Epoch [1/1], Batch [591], Loss: 53442.402344
Epoch [1/1], Batch [601], Loss: 54203.507812
Epoch [1/1], Batch [611], Loss: 49941.332031
Epoch [1/1], Batch [621], Loss: 49838.339844
Epoch [1/1], Batch [631], Loss: 51667.453125
Epoch [1/1], Batch [641], Loss: 54728.476562
Epoch [1/1], Batch [651], Loss: 53045.656250
Epoch [1/1], Batch [661], Loss: 50166.289062
Epoch [1/1], Batch [671], Loss: 53370.117188
Epoch [1/1], Batch [681], Loss: 53113.859375
Epoch [1/1], Batch [691], Loss: 52381.414062
Epoch [1/1], Batch [701], Loss: 51893.964844
Epoch [1/1], Batch [711], Loss: 50682.078125
Epoch [1/1], Batch [721], Loss: 51254.328125
Epoch [1/1], Batch [731], Loss: 52036.468750
Epoch [1/1], Batch [741], Loss: 54447.382812
Epoch [1/1], Batch [751], Loss: 53513.375000
Epoch [1/1], Batch [761], Loss: 54787.269531
Epoch [1/1], Batch [771], Loss: 52366.601562
Epoch [1/1], Batch [781], Loss: 49934.468750
Epoch [1/1], Batch [791], Loss: 52554.476562
Epoch [1/1], Batch [801], Loss: 53154.031250
Epoch [1/1], Batch [811], Loss: 51572.718750
Epoch [1/1], Batch [821], Loss: 52552.902344
Epoch [1/1], Batch [831], Loss: 50837.851562
Epoch [1/1], Batch [841], Loss: 52174.546875
Epoch [1/1], Batch [851], Loss: 50806.875000
Epoch [1/1], Batch [861], Loss: 52206.214844
Epoch [1/1], Batch [871], Loss: 52359.832031
Epoch [1/1], Batch [881], Loss: 51864.500000
Epoch [1/1], Batch [891], Loss: 50309.851562
Epoch [1/1], Batch [901], Loss: 50186.593750
Epoch [1/1], Batch [911], Loss: 51031.570312
Epoch [1/1], Batch [921], Loss: 48954.218750
Epoch [1/1], Batch [931], Loss: 51596.023438
Epoch [1/1], Batch [941], Loss: 50765.351562
Epoch [1/1], Batch [951], Loss: 51843.968750
Epoch [1/1], Batch [961], Loss: 49309.734375
Epoch [1/1], Batch [971], Loss: 50815.898438
Epoch [1/1], Batch [981], Loss: 50395.015625
Epoch [1/1], Batch [991], Loss: 48466.507812
Epoch [1/1], Batch [1001], Loss: 50724.453125
Epoch [1/1], Batch [1011], Loss: 51496.089844
Epoch [1/1], Batch [1021], Loss: 48661.097656
Epoch [1/1], Batch [1031], Loss: 50356.433594
Epoch [1/1], Batch [1041], Loss: 49049.593750
Epoch [1/1], Batch [1051], Loss: 48533.523438
Epoch [1/1], Batch [1061], Loss: 51190.070312
Epoch [1/1], Batch [1071], Loss: 51152.480469
Epoch [1/1], Batch [1081], Loss: 51135.000000
Epoch [1/1], Batch [1091], Loss: 49861.660156
Epoch [1/1], Batch [1101], Loss: 52059.101562
Epoch [1/1], Batch [1111], Loss: 50705.289062
Epoch [1/1], Batch [1121], Loss: 52699.980469
Epoch [1/1], Batch [1131], Loss: 51244.414062
Epoch [1/1], Batch [1141], Loss: 52531.222656
Epoch [1/1], Batch [1151], Loss: 53295.367188
Epoch [1/1], Batch [1161], Loss: 49465.820312
Epoch [1/1], Batch [1171], Loss: 50473.906250
Epoch [1/1], Batch [1181], Loss: 53472.203125
Epoch [1/1], Batch [1191], Loss: 50432.105469
Epoch [1/1], Batch [1201], Loss: 50594.742188
Epoch [1/1], Batch [1211], Loss: 50806.085938
Epoch [1/1], Batch [1221], Loss: 48876.433594
Epoch [1/1], Batch [1231], Loss: 51824.566406
Epoch [1/1], Batch [1241], Loss: 51286.960938
Epoch [1/1], Batch [1251], Loss: 49054.601562
Epoch [1/1], Batch [1261], Loss: 48895.273438
Epoch [1/1], Batch [1271], Loss: 50811.039062
Epoch [1/1], Batch [1281], Loss: 48370.109375
Epoch [1/1], Batch [1291], Loss: 50383.875000
Epoch [1/1], Batch [1301], Loss: 49873.562500
Epoch [1/1], Batch [1311], Loss: 49640.777344
Epoch [1/1], Batch [1321], Loss: 50797.570312
Epoch [1/1], Batch [1331], Loss: 49557.187500
Epoch [1/1], Batch [1341], Loss: 49523.531250
Epoch [1/1], Batch [1351], Loss: 49855.585938
Epoch [1/1], Batch [1361], Loss: 49966.593750
Epoch [1/1], Batch [1371], Loss: 52630.308594
Epoch [1/1], Batch [1381], Loss: 51787.425781
Epoch [1/1], Batch [1391], Loss: 51625.433594
Epoch [1/1], Batch [1401], Loss: 49500.574219
Epoch [1/1], Batch [1411], Loss: 50514.613281
Epoch [1/1], Batch [1421], Loss: 49189.285156
Epoch [1/1], Batch [1431], Loss: 52436.781250
Epoch [1/1], Batch [1441], Loss: 51480.695312
Epoch [1/1], Batch [1451], Loss: 51045.156250
Epoch [1/1], Batch [1461], Loss: 51210.835938
Epoch [1/1], Batch [1471], Loss: 47169.902344
Epoch [1/1], Batch [1481], Loss: 50683.804688
Epoch [1/1], Batch [1491], Loss: 49947.125000
Epoch [1/1], Batch [1501], Loss: 50407.562500
Epoch [1/1], Batch [1511], Loss: 50709.835938
Epoch [1/1], Batch [1521], Loss: 50409.250000
Epoch [1/1], Batch [1531], Loss: 50012.488281
Epoch [1/1], Batch [1541], Loss: 50694.589844
Epoch [1/1], Batch [1551], Loss: 49323.613281
Epoch [1/1], Batch [1561], Loss: 51594.453125
Epoch [1/1], Batch [1571], Loss: 52480.757812
Epoch [1/1], Batch [1581], Loss: 52132.074219
Epoch [1/1], Batch [1591], Loss: 50184.929688
Epoch [1/1], Batch [1601], Loss: 49950.511719
Epoch [1/1], Batch [1611], Loss: 50378.546875
Epoch [1/1], Batch [1621], Loss: 50592.054688
Epoch [1/1], Batch [1631], Loss: 49455.945312
Epoch [1/1], Batch [1641], Loss: 51411.832031
Epoch [1/1], Batch [1651], Loss: 50203.285156
Epoch [1/1], Batch [1661], Loss: 50808.179688
Epoch [1/1], Batch [1671], Loss: 49031.476562
Epoch [1/1], Batch [1681], Loss: 50347.164062
Epoch [1/1], Batch [1691], Loss: 51718.187500
Epoch [1/1], Batch [1701], Loss: 51566.875000
Epoch [1/1], Batch [1711], Loss: 48506.089844
Epoch [1/1], Batch [1721], Loss: 48902.753906
Epoch [1/1], Batch [1731], Loss: 50266.242188
Epoch [1/1], Batch [1741], Loss: 49386.390625
Epoch [1/1], Batch [1751], Loss: 51096.570312
Epoch [1/1], Batch [1761], Loss: 51983.914062
Epoch [1/1], Batch [1771], Loss: 50912.484375
Epoch [1/1], Batch [1781], Loss: 52115.308594
Epoch [1/1], Batch [1791], Loss: 50971.101562
Epoch [1/1], Batch [1801], Loss: 48928.914062
Epoch [1/1], Batch [1811], Loss: 50653.242188
Epoch [1/1], Batch [1821], Loss: 48414.601562
Epoch [1/1], Batch [1831], Loss: 49481.117188
Epoch [1/1], Batch [1841], Loss: 49073.718750
Epoch [1/1], Batch [1851], Loss: 47740.289062
Epoch [1/1], Batch [1861], Loss: 50244.679688
Epoch [1/1], Batch [1871], Loss: 50358.023438
Epoch [1/1], Batch [1881], Loss: 49997.785156
Epoch [1/1], Batch [1891], Loss: 49456.742188
Epoch [1/1], Batch [1901], Loss: 49798.835938
Epoch [1/1], Batch [1911], Loss: 49333.929688
Epoch [1/1], Batch [1921], Loss: 49099.746094
Epoch [1/1], Batch [1931], Loss: 50495.359375
Epoch [1/1], Batch [1941], Loss: 50721.140625
Epoch [1/1], Batch [1951], Loss: 48079.609375
Epoch [1/1], Batch [1961], Loss: 50676.171875
Epoch [1/1], Batch [1971], Loss: 50407.238281
Epoch [1/1], Batch [1981], Loss: 49724.609375
Epoch [1/1], Batch [1991], Loss: 50947.074219
Epoch [1/1], Batch [2001], Loss: 50265.589844
Epoch [1/1], Batch [2011], Loss: 49637.742188
Epoch [1/1], Batch [2021], Loss: 48075.843750
Epoch [1/1], Batch [2031], Loss: 52591.546875
Epoch [1/1], Batch [2041], Loss: 51471.679688
Epoch [1/1], Batch [2051], Loss: 50399.914062
Epoch [1/1], Batch [2061], Loss: 49277.437500
Epoch [1/1], Batch [2071], Loss: 48324.000000
Epoch [1/1], Batch [2081], Loss: 52348.027344
Epoch [1/1], Batch [2091], Loss: 50505.843750
Epoch [1/1], Batch [2101], Loss: 48150.914062
Epoch [1/1], Batch [2111], Loss: 48142.882812
Epoch [1/1], Batch [2121], Loss: 49809.406250
Epoch [1/1], Batch [2131], Loss: 48235.476562
