115.44067796610169 118.83333333333333
110.87395957733693 86.95027644989202
2.150042010724777 2.116623367448169
0.8743386816727606 0.9540785561831368
CUDA is available!
Training with sequence length 2
Epoch [1/1], Batch [1], Loss: 0.2535
Epoch [1/1], Batch [11], Loss: 0.2495
Epoch [1/1], Batch [21], Loss: 0.2478
Epoch [1/1], Batch [31], Loss: 0.2385
Epoch [1/1], Batch [41], Loss: 0.2089
Epoch [1/1], Batch [51], Loss: 0.1242
Epoch [1/1], Batch [61], Loss: 0.0732
Epoch [1/1], Batch [71], Loss: 0.0570
Epoch [1/1], Batch [81], Loss: 0.0580
Epoch [1/1], Batch [91], Loss: 0.0496
Epoch [1/1], Batch [101], Loss: 0.0465
Epoch [1/1], Batch [111], Loss: 0.0435
Epoch [1/1], Batch [121], Loss: 0.0387
Epoch [1/1], Batch [131], Loss: 0.0350
Epoch [1/1], Batch [141], Loss: 0.0305
Epoch [1/1], Batch [151], Loss: 0.0274
Epoch [1/1], Batch [161], Loss: 0.0213
Epoch [1/1], Batch [171], Loss: 0.0188
Epoch [1/1], Batch [181], Loss: 0.0148
Epoch [1/1], Batch [191], Loss: 0.0119
Epoch [1/1], Batch [201], Loss: 0.0097
Epoch [1/1], Batch [211], Loss: 0.0078
Epoch [1/1], Batch [221], Loss: 0.0067
Epoch [1/1], Batch [231], Loss: 0.0057
Epoch [1/1], Batch [241], Loss: 0.0047
Epoch [1/1] - Average Train Loss: 0.0721
Epoch [1/1] - Average Test Loss: 0.0045
Training with sequence length 3
Epoch [1/1], Batch [1], Loss: 0.0036
Epoch [1/1], Batch [11], Loss: 0.0050
Epoch [1/1], Batch [21], Loss: 0.0047
Epoch [1/1], Batch [31], Loss: 0.0037
Epoch [1/1], Batch [41], Loss: 0.0047
Epoch [1/1], Batch [51], Loss: 0.0041
Epoch [1/1], Batch [61], Loss: 0.0048
Epoch [1/1], Batch [71], Loss: 0.0048
Epoch [1/1], Batch [81], Loss: 0.0052
Epoch [1/1], Batch [91], Loss: 0.0035
Epoch [1/1], Batch [101], Loss: 0.0044
Epoch [1/1], Batch [111], Loss: 0.0041
Epoch [1/1], Batch [121], Loss: 0.0040
Epoch [1/1], Batch [131], Loss: 0.0041
Epoch [1/1], Batch [141], Loss: 0.0054
Epoch [1/1], Batch [151], Loss: 0.0056
Epoch [1/1], Batch [161], Loss: 0.0058
Epoch [1/1], Batch [171], Loss: 0.0051
